Emotion,Text
joy,I get my baby thing today... 
joy,"The note of anger carried to the groups and couples passing by , provoking amusement and raised eyebrows . "
joy,@TheBodyShopUK counting down the days till I see my family in South Africa brings me 9 days to go
surprise, my when I find out  dat som1 I trusted plunged a knife nmy back.Now imagine dis sam person thinkin I owe them #goodgrief
joy,"@MelBala I can't it's finally happened, aaah I'm so proud of her, I can't wait 2 c her "
joy,a possible fracture that i wont find out for sure til a few days later smh and im on crutches. 
joy,@SophieFeeney_x yep! Woopwoop Othello! I'm going to be doing english literally all day...excluding last lesson. All night tomo.. 
fear,Polanski had received notices of similar disquiet over his films . 
sadness,"Wow, Rough Night... &amp; #Vodka = More #Pain... Argg"
joy,Hahahaha RT @danecook: I just shit my pants. Pure 100% gravy. 
surprise,Ik sta op 't punt om m'n vriendje te gaan 'ontvoeren'... Voor een surpriseparty voor z'n 30e verjaardag!!  #vannachtjarig
surprise,Surprising my boyfriend this weekend  with a trip to Stan hywet hall :) #somethingtolookforwardto
sadness,On another note: Tonight I noticed great  and dead-end  on a lot of people's eyes.  and #cynicism. #feeling #urgency
anger,Congratulations on the new house ! 
anger,Rememember that feeling when you was a kid and u opened a present to receive clothes... #tears #sadness #betrayal
sadness,"Sitting here at the band banquet, I'm slowly realizing that I will be giving a speech next year... "
surprise,"@danawhite u keep rashad when he makes remakes about PSU and cut Miguel about a #rapevan remark, come the fuck on man!!!"
joy,Tower Heist is so stinkin' good. 
joy,Relatives visiting me.
joy,cooking dinner and drinking a beer and reading submissions and leaving for vacay in two days 
sadness,@kheyt  wait it's eaten with a coconut? Lmao I don't remember I haven't had it in a decade! 
sadness,"When Annie 's daughter died at the age of five , she was heartbroken . "
joy,Just picked out our real christmas tree.. 
anger," There wasn't really anything that I could do . There's always been a lot of bad blood between my manager and myself . If I had said anything , he would have fired for me for sure . "
sadness,I received a letter from my grandmother. She has obviusly suffered a lot from my grandfather's suffering health. She mentioned things she had gotten him and he would never use.
neutral, I don't like Folk music very much . 
anger,"He 'll be cross , but I 'll go . "
joy,I was very pleased and happy when my older sister came home from living somewhere out of town and I hadn't seen her for months. We are very close sisters.
joy,Bulgaria won a football match against France.
joy,"Very slow northbound M23 J11 to J8 M25& accident cleared, roadworks in place "
fear,The hero and the coward both feel the Same thing 
surprise,zometeen druk een en #sinterklaasgedicht maken en dan vanavond #sinterklaas vieren. wat een #feest! haha
surprise,Finished Christmas Shopping!! Yippee! :) Now it's time 2 shop for family gifts!! :D
fear,is all to do with #Faith ..Have Faith in the perfect #love which casts out fear..Who is that perfect love? #Jesus #Jesustweeters
joy,Fell asleep after I finished cleaning my room haha. Now on to the office and downstairs #sarcasm
anger,There was a cup final match between Limbe Leaf Wanderers and Silver Strikers and someone promised to give me some money for admission fee to watch this game. Unfortunately he did not give me.
anger,There is a mad boy in our village. This boy hit me with a raw paw-paw in the face.
fear,"At age 10 my foster grandmother died, I had a fear of dying."
sadness,Happy birthday @Mr_Grimshaw ! No such fitness is on this years Xfactor.... .
joy,A smile of amusement played on his lips as he studied his unkempt prize . 
anger,"There are 4 different types of anger – Lightning, Tornado, Flood, and Volcano. #hr #safety #leadership #management #teams"
fear,"Disquiet at the new direction of religious affairs soon surfaced in parliament , and over the next few years a growing number of MPs began to speak out against the Arminian threat . "
joy,thin lizzy now every twenty minutes #friends
surprise,@treama @borcki will b here PM 22/12 but telling mum she won't b here for bday dinner 
joy,In the gym this morning... Xmas tree afterwards then a nice 4-12 shift at waitrose... 
joy, It's fun . 
sadness,"you know, i haven't had  all christmas season. #mylifeisaverage"
neutral,Hi Mark . 
fear,My greatest is sitting in front of thousands of people while my #Google search history is being read aloud.
joy,Just ate at a diner with three kinds of gravys on a single platter. 
joy,"Got an email from editor @the_SDB  saying I knocked my revision out of the park! A HAPPY, I HAZ IT. #relief #variousotherdescriptors"
joy,I want a hippopotamus for Christmas! Oh well a new puppy will have to do instead: on my way to pick it up #love #germanshepherd #family
joy,"☼♥∗H::A::P::P::Y:: ❤◠◡◠ˆ❤::ŦŔÏÐΛÝ! ✽♥∗✽✽♥∗☼♥Have a Wonderful Day, Receive  &amp;  #love*¨*✽♥∗ღƪ(ˆ◡ˆ)ʃ ☼♥∗ @1teddiemum"
surprise,He told me no koi because I late to find him although I requested for koi but ite he still got it for me :) Ilovehim  ♥
sadness,kennedy wont send me taylor swift perfume . 
neutral, Is that so ? 
sadness,The wedding guest did not exactly beat his breast but he looked considerably crestfallen . 
anger,"A person walking his dog allowed it to defecate on the footpath outside my house. Although it had happened before, this was the first time I had witnessed it. All the skills I had learnt from PY 263 were thrown out the window when his indifference to my protestation was obvious to me."
sadness,@OMandM in Grand Rapids tomorrow? Missing it 
joy,"Up since 5.45, again. You'd think that was delight enough...oh no, 2 bickering, whining small children really deliver that extra treat! "
anger,"@xlottie_brownx HAHA. oh lottie, you're just too cool;D nah, i'm gonna fail my biology AND maths &gt;.&lt;   :S"
anger,When I was accused of something I had not done.
sadness,Those night when you have absolutely nothing to do or no one to hang out with 
fear,"sells, but only-buyers remorse-Don't buy anything thats sold by fear except maybe a good horror flick! Choose Love &amp; Trust-not fear"
fear,"Mañana a la pista de hielo de Menacho con la clase de E. Fisica... deseadme suerte para que no me haga un esguince, o algo peor... x) "
sadness,"Sometimes I wish there was an awesome church close by that I could go to but down in the South, being Catholic, it's kinda hard. :/"
joy,Great win Jets. Now time to write my 10 page paper 
surprise,i made 20 bux singn Christmas carols to some kidz tonight !!
surprise,"A on -&#xA;1) day 1 is better than a surprise on day X,&#xA;2) 1 day is better than X number of surprises.&#xA;&#xA;#QThot #flavoroflife #axioms"
joy,"Nail varnish I bought is practically skin colour, so it now looks like I have no nails "
joy,Opened inbox to the best email subject line ever: &quot;Yoko Ono (@yokoono) has sent you a direct message on Twitter!&quot; IMAGINE that.  
anger,I was watching TV with a friend. After the first film I wanted to watch another film on the same channel. My friend switched over to the other cannel without asking me what I wanted.
joy,Library session followed by work 
surprise,S/O to @TripleCCC87 for buying my lunch!!! Made my day!! What a great :)
surprise,get to find out my anniversary/christmas surprise on thursday am I nervous lol
fear,"Y a 5 minutes, j'me suis rendu compte qu'j'avais mal à la jambe. J'matte, j'ai une énorme brûlure/griffure. J'sais pas d'où elle sort. "
fear,My greatest is leaving this earth and my Family (bros and sis's included) not skr8 financially
anger,I got angry when I learned how short a time we had to prepare for the term examinations.
surprise,@AJaClay it's cold as shit right now. No snow yet 
neutral, Not bad . 
sadness,"When a friend, who has been with me at school, failed to make it to university."
joy,Aspire to be like  &amp; be not conformed to the dark prince of this world. True  &amp; is in God. #jesustweeters #teamjesus #God
neutral, Can I stop by ? 
sadness,A friend told me that he had suffered in love and in academics.  I shared his sadness.
sadness," I'm very sorry , sir . I'll ask the manager to take care of this . "
joy,Creo q despues de 8 hras corridas leyendo/memorizando shit lo unico q entiendo es blahblahblah... On to la sentencia sumaria then 
joy, pour un gros repas  pour max. d'énergie demain matin. 
surprise,"ja, @Nienkee_Eijerr hoe is het met je? en heel veel beterschap lief ik wil je maandag wel bij sinterklaasfeest hebben he?!  "
anger,"Is there a fine print under each tuition fee saying, &quot;May use up 10-15 trees per semester. Ink fees not included&quot;? Cuz fuck that shit "
surprise,"Before she left for London , Cllr Cooper said : ` I am astounded to have been chosen . "
sadness,"She missed him , and missed the companionable secrecy of their relationship , but she was not miserable about it . "
joy,"Nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and Tolkien was happy to discover anyone who could appreciate what he was up to . "
surprise,"Treino ontem muito proveitoso, só base e outro estilo de dança que to aplicando dentro do free step ^^  "
sadness, It is depressing to hear the price goes higher and higher . 
anger,"At the hostel they were furious with us for bringing the police , they just wanted us out , literally , and we were out ! "
joy,"le camera has left Jacksonville. my netbook, on the other hand, is conveniently lost in space. "
sadness,cut on the back of my leg that has been bleeding since 5:30 am! what is going on??????  #hurtslikehell
neutral, It's 9:30 . 
sadness,"I feed on other peoples energy, one persons not having fun, neither am I. "
sadness,well i just left my book at school soooo no essay 
disgust,@sbpc07 thinking of you as a man makes nasal snorting heavy breathing noises at the airport ...Why does this always happen to us?!? 
sadness,"A friend of mine, who had repeated a year at school once before, did not pass the final examination and had to take it again half a year later."
sadness," So sorry , I must have confused the orders . I'll check it . "
fear,"When I was in the army, a room mate of mine came back from furlough and threatened another fellow with a knife."
fear,"as you go eat your turkey tomorrow, remember muslim terrorists eat turkey too. probably more often, because they don't eat pork. "
joy,I'm currently walking around the store with an Elf voice changer and singing Christmas songs to ALL of the Target customers! 
fear,I needed a recommendation for something. I decided that the best person to get one from was a professor who I had never talked to before. I felt a lot of fear going up after class to ask him to recommend me considering he had never heard my name before. But I did.
neutral, Mm ? 
joy,"Dare 2 LIVE, dare 2 LOVE, giving something of yourself 2 others! |~☼♥   #Gratitude   #JOYful"
fear,When I was walking along a road alone on my way to go shopping.
anger,"He didn't seem offended , he didn't exactly appear contrite . "
fear,I think I'm scared of what the future holds I was wishing for some things but now I am used to those 
sadness,Food sounds so good right now... Too bad I have none. 
joy,enjoying tea and my christmas tree  
fear,"makes you a different person, don't let it overcome you."
joy,On my to meet a sweet attractive princess for lunch... It's so nice to feel loved once agian.. :)))))). All the is back in my #heart..
joy,@robin_joyce points failure at lewisham #southeastern are crap
sadness,"I'm not in the Christmas spirit at all, scene as we're living with two people who curse the fuck if you mention it "
fear,@TKJ377 nee hoor ik loop zo wel even naar je toe 
anger,3-2 @IceCapsAHL beat the  &amp; I lost umbrella no. 213 (I always forget to grab my umbrella dammit) 
neutral, Yeah . 
joy,@SonriseChurchBC learning christmas joy is achieved when we take our entitlements and put them at the feet of Jesus.  
surprise,AaallllllI have left for this paper is the conclusion!  8 paragraphs down and 1 to go!  Gotta get ready for work!  I'm late!  
joy,@TheBodyShopUK Knowing its nearly Christmas and I can enjoy some quality time off work with my fiance and family brings me :)
fear,"She was nervous that he might change his mind at the last minute , but he did not do so . "
sadness,It happened that I was alone - with no contacts with friends.
fear,The same situation as with sadness. I was afraid about what my parents would further do to distroy my relationship.
joy,&quot;It's being alive that makes you rich.&quot; ~Notes from The Universe  
fear,"&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less"
disgust,Mixed with his revulsion was also a tiny feeling of excitement . 
fear,@daShortFry is a bad ass...watch out tweeter world... has come of age #bringthepain
neutral, What for ? 
surprise,I wish @Kenny_V_Rivas would hurry up and go home to see what Easton did to make up for his mess he made.. 
surprise,@SaintBles think positive … malay mo  :D
sadness,I received a letter form home telling me that my sister was very sick.
joy,i smile regardless of the craziness that surrounds me...
joy,nonstop Christmas music at work 
anger,"I gave tutorial to a student and I found that he was lazy, he did not pay attention to what I taught.  He did some easy questions wrong deliberately."
joy,"Listening to &quot;A very She and Him Christmas&quot; at work, the only way I can get into the Christmas spirit when i'm too busy to remember to. "
joy,am dying with happiness at the 8 mocks that await me this week 
sadness,"@maryroseo I've thought that, too. But even the guy at T-Mobile said the processor is a piece. "
joy,Break! Imagine you're in a steam or sauna &amp; you're getting a massage. Really get into how that feels. #LJB
fear,"Rather than match China 's firmness , it can be confidently predicted , the Hong Kong authorities will follow past form , cease muttering about their shock and horror over Tiananmen , and return to bland assurances that the negotiations with Peking about a post-1997 ` Basic Law "" for Hong Kong are going well . "
sadness,"Well, My car is total wrecked.. Miss it already.. Pff.. "
joy, Do you want to borrow my coat ? I have a black coat that would look smashing on you . 
neutral, I like baseball and basketball . 
joy,So no more training for god knows how long. Guess I get to straighten things for 6 hours -_- 
joy,I just shit my pants. Pure 100% gravy. 
sadness,"And therein lay the extent of his gratitude , she realised with a feeling of despondency , but to disguise her feelings she added brightly , ` When we 're at the hospital we must visit Stella . "" "
surprise,"De  sneldicht Piet: Morgen van 16:00-21:00 uur zit  daar klaar, en maakt al uw dichtwensen klaar!   "
joy,When I saw my family after a separation of one year.
anger,@BBCBreakfast I suspect lots of things are causing but nice try.
sadness,"Wycombe were beaten by Bob Taylor 's 82nd-minute winner , and their disconsolate boss Martin O'Neill said : ` I was actually looking forward to extra-time because I was so sure we would win . "
surprise,Its always a good day when your parents finally see your tattoo that youve had for three months 
joy,Michael Knight's face is the result of horrible disfigurement after getting shot in the head.  #themoreyouknow
sadness,@iamrachelcrow When will rachel ever follow me :( I ADORE YOU !!! Little miss sunshine :&quot;)
joy,"Oh wooow,mine is a day b4 his!   @Bonang_M: My honey's birthday in 5 days... ♥ "
joy," Oh , Jack ! That's wonderful ! "
joy,Procrastination is going to be the death of me. In just a few hours i'm going to be dying of stress because of my laziness right now. 
joy,Oh holidays with the family...how joyous it is to hear my father throw fits because the christmas lights aren't doing what he wants. 
joy,@TheBodyShopUK Hearing my 4 and 1 yr old whispering and giggling in bed in the morning trying to be quite...pure 
sadness,@NarcisseBreed na let me stop playin lol. I remember I had to be carried to the car last summer lol. Smh 
sadness,Its Lunch &amp; I left my Lemon Juice! 
joy, Shall I say around ten o'clock ? 
fear,@BenoitBerchon un RT pas très surprenant de ta part :) #sexaddict
fear,The Doctor looked horrified . 
sadness,I feel like I want to watch When Harry Met Sally &amp; eat some Jimmy Johns. Probably going to watch the movie but not eat the food... 
disgust,@bhogleharsha @ times people get corrected based on right information posted. What do you think of TOI promoting Irfan for Aus? 
joy,Starting tomorrow until Christmas break = hell. Basketball games &amp; midterms.. #not
anger,My phone is bi-polar... It dnt wanna cooperate wit me ryt nw ... Need 2 send it in 4 repairs
anger, That wouldn ’ t be a lie ! 
neutral, Bingo ! 
joy,Me and my mom just got to the store and realized she left her purse at home:p  :P
sadness,@TheDailyShow missing my Morning Dump... 
anger,I love how kiernan makes a point of telling me to spread the word that she put up a new study guide... when she never even put it up. 
surprise,voelt zich een beetje Bert en Ernie op een knutselelpee  
fear,"is the greatest obstacle to  #happiness. Too often we choose the #misery we know, over the happiness we #desire.."
neutral, So what's the problem ? 
neutral, I'll try . 
sadness,After my father died suddenly of a heart attack.
joy,now it's gonna be stuck in my head for the rest of the day. 
neutral," I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? "
fear,Fear of failure must never be a reason not to try something. ~ Smith   #success
fear,Just made first eye appointment in nearly six years. I wonder how blind I now am? 
neutral," Honey , a typhoon is coming . "
joy,Memory is sooo  sweet she's singing to Izzy while I relax..
surprise,I'm thinking of wrapping myself up in Xmas paper and mailing myself to Florida this year. 
anger,“@FeeqDeuce: My ole lady mad at me I told her I love her this morning and she said &quot;Thank u&quot; lol ”
fear,Somehow I've got to get to trend. That way I can have another way to spread fear across the world without needing an inhaler.
fear,Waiting for my girlfriend to come from her apt. to mine. She was very late and I thought something awful had happened.
surprise,I am going to learn German by this time next year and not tell Mark about it. I'll just break randomly into German conversation. 
anger," is not in controlling emotions,but MASTERING them! UNDERSTANDING them and overcoming negative emotions, especially and #fear."
joy,Got our ID's....means waiting an extra twenty minutes  to get inside 
sadness,There is a hole in my belly and heart where @sarahhoward1231 and @Skyhoward brinner should be. #brinner
sadness,terrible headache+1.5 hours left at work+hungry= 
disgust,"The  -  run  govn is in race for a  for max. Financial losses, Scams &amp; U-turn on Decisions!! "
joy,"Walking along the Embarcadero last night, along the bay was quite calming last night.    #calm #peace"
anger,&quot;We watched that movie [Spice Girls] sober!&quot;  
joy,When bitches see you havin funn or even smiling they'll try n steal your Bitch go suck a dick thats what you good at !
joy,"Well, I got a total of 3 hours of sleep last night. "
surprise,She is singing the Chilli Peppers? Which one? Oh it's the slow one. #xfactor
fear,Considering heading into town to brave the Christmas shopping. 
disgust,I really can't believe all of the grown men that think it's ok or them to touch children. I will kill anyone that touches my girls. 
surprise,en dan uitgerekend degene hebben die niks wil hebben  
disgust,i hate you with a burning passion. #fml #gtfo
joy,Hi @Hanimsss that's really courageous of you! We hope you find the perfect  that fills your  with very soon!
sadness,"I'VE LOST MY BAG OF CANDY.  I better not have trashed it. Golly, I'm starting to think I'm getting really absentminded."
fear,I had always assumed that this sort of civilized dismay at barbarism was the monopoly of our cause . 
joy,"He himself was thrilled , but his pleasure was diminished as he imagined Ken 's pallid , bandaged head shadowed on the screen . "
disgust,@colbster_m Your sister was just hoe'in up on the black kid andre. 
sadness," is just that - a black mark on society. Greed, no regard for others, and support of a sick  movement. "
sadness,There are periods when we feel totally inconsolable . 
sadness,My father's death in January 1983 moved me deeply.  The gloom prevailed for almost two years and I am still to recover from it.
neutral, Haven't you heard that he is in prison ? 
fear,"The girls exchanged nervous glances , thinking that it must be Miss Hardbroom come to reprimand them for being out of bed . "
joy,"LORD, fill your people with laughter &amp; this day.  In your presence is fullness of JOY!"
joy,"Create in me a clean heart, oh  Restore in me the of my #salvation. Wash me white as snow! And I will be made whole! #winter"
sadness,"Losing my girlfriend who made an end to our relationship. By this I lost an important source of support, certainty and joyful moments. I cried very intensly when that happened."
joy,5 hours of homework killed my brain! Now I have work for 5 hours. 
joy,I just found a dollar in my pocket while doing laundry. Highlight of my week. 
joy,Lecture how it is wrong to have a love bite on my neck and smoking 
sadness,"@Glemanski unfortunately no, too long of a drive for just the day :("
joy,"1,104 words written for comp "
surprise,"Dan kom je by je bed , ligt er een chocoletter in #lekkerr"
sadness,A sudden end to the relationship with my first girlfriend.
sadness,"bro, me so hungry! -___- but my mother won't let me eat, so i guess she wants me to starve myself, AGAIN! "
joy,Going to regret sleeping this late tomorrow morning... 
anger,"Bank customers are notoriously slow to shift their business , even if they are miffed . "
sadness,the depressing moment when you lost a follower.....
fear,"Relatives , too , seem concerned about lack of communication and the ` unavailability of the nurses "" . "
fear,Watch this  press conference on  &amp; this guy squirmming when asked about the terms/length of the  contract. 
fear,Being driven by friend who suddenly swerved and skidded a little. It was night and on a long trip. We ended up on side of road.
surprise,Who knew cherry hill east had this much spirit #goingHAM #joke #JUNIORS
neutral, Yup . 
joy,"Wtf I thought it was 4?! RT @missabby07 Time to go on a run, hopefully boosts my mood and then back to this 7 page paper due tonight "
joy,"Really good time at the HWPA Awards today - home safe and sound, and not actually feeling too wrecked!!  "
joy,Looking at 2 more houses in Hayward again today. My moms favorite is a bright ass green house -_____- hahaha
disgust,I Am So Fascinated With The  Experience | Why? | He Is Hilarious! | His Behavior Was/Is Obnoxious &amp; It Lent To Parody! | 
joy,Break! Imagine playing with puppies. Feel their unbridled joy as they romp &amp; tumble. #LJB
sadness,I lost 4kg due to illness. 
sadness," John , I am just not in the mood for this . "
fear,"The children of Israel remained in the desert for 40 years, because they wouldn't trust God.  What is doing to your future?"
anger,An enraged person only gets angrier when you say “I completely understand.”       
joy,It is a joyful day to count blessings   
joy,to express victorious or lively outward from the heart of our inner man. to rejoice deeply—beyond the norm—about our #victory in Jesus.
surprise,“@samihox:  - hohoho @erinlaw8” merry Christmas... Just wait till Xmas day.. Can't wait #notreally #amazin
joy,"I must say I was not totally happy about her going on at Yeo Davis , with me in the government . "
sadness,@Ianncaleb @despicableAsh Nothing to eat. ): I search and search. Peanuts are good. :D Who is this hot person?! #hotpeoplearegood(;
joy,oh gosh I feel a hunger headache coming on ... -_-.
anger,Throwing away opertunaties that I can't afford to throw away. My own fault. 
anger,time is too precious to waste on 
sadness,"My mother was stuck by an apoplectic fit, was paralyzed and suffered an aphasia."
anger,@MarisaShawn_XO hahah oh i know the joy of having twins! (; hahah i think we should be worried about kyle attacking dylan.. 
sadness,&quot;@amyysaurus_rex: @ddamiani5 @ndy__ lol I love our extended wal-Mart trips! &lt;3&quot; :'( &lt;&lt;/3 I've been replaced 
joy,"Que rabia en vísperas de la gran fiesta me pongo mala ,la digo a mi madre que estoy mejor pero ...no funciona ,no voy a  :("
surprise,@jemmaarose @Dindro92 ahh damnit;  - first thing you've not told me :( so excited for the though!!
surprise,"BUT, I will be back in Cali for  on the 23rd! Aaaand there *might* be a drop-in visit to AR somewhere in there... ;)"
joy,Christmas music on the radio  #winning
surprise,Wachten op pap en dan richting laura 
fear,When I broke the window pane of my next door neighbour's house.
surprise,"Just woke up, and my aunt and uncle from Kentucky are at my house. "
surprise,"Me &amp; no.2 son this morning. Made a batman mask, built a train track &amp; now off to the shop. Yogi Bear on DVD later  "
surprise,"@Virtueous_Woman I'm sure you will expand Ur family in due time.  Look at me, didn't even kno I could have any more kids. "
joy,Has the joyous commute to Brighton from Birmingham tomorrow via train. 
shame,"` In every sense , of course , including the biblical , "" he added in a penetrating whisper clearly audible to his embarrassed family . "
joy,@janamontana12 my mother tells everyone jesus others and yourself. if you live your life in that order you will recieve #JOY try it out
sadness,3/4 length pajama bottoms are full length on me   #upset #shortpeople #coolkid
fear,You gain   and confidence by every experience in which you really stop to look in the face.~ E Roosevelt
joy,"I was in a dancing-tavern and the atmosphere was one of waiting for the end of the world.  Suddenly people began dancing wildly, inspired by the band.  An unbelievable experience : wonderful that even Finns sometimes flare up and forget to think \what others are thinking of me\"".  It was delightful to dance to one's heart content."""
fear,Happy birthday swaggadonhugz. Birthday beats are in the post. #totheface #youradeadmanwalking #qualityfilm
joy,"Went to a movie with a date, walked on the beach (in Alameda) spent some time afterwards in her apt."
joy,"&quot;@MeganBohinc: &quot;I went to bed dreaming, You woke me up singing&quot; #psalm90:14 #mandisa&quot;// @KevinMcMonigle I found a MANDISA LOVER!!"
fear,The Repton boy 's horror at Churchill 's anti-Bolshevist campaign had turned into a more adult and less ferocious criticism . 
anger, when @erinxkelly texts you dirty things (not unusual) and then says nevermind 
sadness,When my gradmother died.
fear,"Every time I walk down the steps outside of the Union, I'm terrified I'm going to fall down them &amp; chip a tooth "
fear,"` Money is my motivation , but what keeps me at the top is that I 'm petrified of losing . "
anger,She really was mad about what she 'd just found in her freezer . 
fear,"first, the (batman begins)....then, the #limits (dark knight).....im thinking like,  fucking....#redemption (dark knight rises)"
joy,I noticed with amusement that the tapestries hanging there illustrated the seven deadly sins . 
sadness,When my dog died.
fear,"When u lose the of being #hurt by others, u lose the fear of being yourself.~David Julio Wang #survivors #stopabuse #ptsd"
joy,"I got a letter from my best friend, whom I had not heard from for a long time (a good letter)."
joy,"My Lord Mayor , I 'm delighted to have this opportunity to debate the Government 's health reforms again . "
sadness,"As he was rushed to hospital , his devastated daughter Suzanne went ahead with the service -- not knowing if he would live or die . "
joy,time for an intense workout till 5:40 . . .#kms
sadness,When I went home on holidays I found that my niece and nephew had passed away I was very sad for the children were not even sick before death but suddenly died.
surprise,The man seemed stunned . 
sadness,When I am alone and listen to a song which I like very much and which I had listened before together with friends.
surprise,@ilovejam8 @jetfirefly @chosun888 bwahaha!! Alam ko na sagot dun pards! E ikaw? Ayaw m share sa akin plans m0? Haha :))
joy,I spent a lovely relaxing evening with my boyfriend. We played games and talked all evening.
anger, I wasn't aware that I had to go to court . 
anger, I want justice . 
surprise,"Giants huge gain, brother screaming, brother comes upstairs, giants fumble, brother goes back downstairs. "
surprise,"This is going to be a long &amp; much needed journey. Jersey, this is my last hoorah.  "
joy,I can see you 're pleased with yourself ` 
surprise,making chicken alfredo for dinner for the parentals
fear,People think i've change just cause my feelings grown. 
joy, Take care and give my best to you parents . 
joy,"Never will I agree to be an extra in a film again, full day wasted and now I have an evening of school work to look forward to "
surprise,TO CELEBRATE OUR LAUNCH WE HAVE A SNEAKY UP OUR SLEEVE. 250 COPIES OF A SURPRISE...WE WILL REVEAL ALL SOON... #EXCITING
sadness,I was so determined not to lose the first Chapstick I ever bought. I have failed. 
joy,Meeting with new client at Lakeside in Thurrock this afternoon. Won't be busy will it?   
sadness,A grief-stricken Mr Ellis said yesterday : ` It 's a nightmare . 
anger,My parents did not let me go on holidays with my friends.
joy,McMinnville for basketball tournament over break 
joy,I'm just thinking. Who's the real hero in  ? Arya or Daenerys? Or Jon perhaps? Can't wait to start reading A Dance With Dragons. 
fear, and  looks backwards... looks around but #Faith always looks forward~ E.lynn.harris
surprise,Nothing says better than a morning call from @Wajeeh50 ... Good to hear ur voice buddy ..
joy,Lexie 's parents are pleased that their efforts may prevent other children dying from the side effects of steroid treatment . 
sadness,What the fuck is going on in the world this week??  #love
fear,"I live outside Graz - so I have to go by bus. One day I went home from the bus stop alone. It was dark, I had to go through a forest and there was a dark figure behind me. I was very frightened."
joy,Had a great time happy Anniversary to my sister 
surprise,My aunt and cousins showed up to my house early ! :D i love them ! im so excitedd now ^-^
surprise,Of course the boarder security guard speaks German 
sadness, I ’ m very sorry . 
sadness,@steezballer @fanzinator @stoner_kelly @brenna_bean @meaganskylark twitter should be  person of the year end 
fear,"In one room , a frightened man bared his back which was a mass of scabs and bruises . "
sadness,@melbFISHMONGER @gavinacppa it's just a shame you don't realise how much the system drains you. #auspol #OMEL
joy,"@jayneflower I'm dead serious. When you have a copy, let me know. You can mail to me, I will mail it back. #prehandcramppromises"
anger,"And I 'm mad at you , you 've no ambition . "
sadness, I'm afraid I can only rent it for two months . 
joy,"Après avoir fini un sac complet de Ricola la semaine passée en 2 jours, la toux me reprend ; j'vais m'acheter un autre sac. #NOT"
fear," Phew ! . . . Wait a minute , CRASH ? ? ! ! Spyware ? Trojans ! What ? where ? when ? ! "
sadness,"We are several friends but our characters are very different and we inevitably split in the two extremes. It is sad that I myself don't know what to do, I try not to hurt either of the \parties\"" because there are conflicts to which one I should belong."""
anger,"I was annoyed this particular day as it seemad that the odds were not in my favour.  My grandfather added fuel to the fire, when I  had an important appointment so I unleashed my anger on him."
sadness,@Lol_ThatsBri right..her lips looked bout crusty as a pie edge. 
neutral, Like what ? 
joy,"Come, let us sing for joy to the LORD; let us shout aloud to the Rock of our salvation Psalm 95:1 #INSPIREyourSPHERE"
sadness,My father died last year after an 8-week severe illness.
neutral, Not always . It depends on the transmission of the satellite signals . 
fear,When I was bringing in the shopping and nearly stood on a snake.
anger,"He ignored the affronted expression that crossed Isabel 's face at this sardonic rejoinder , and continued . "
joy,My Aunt Stay Drinking Wine 
anger,"How mad we 've been , Lyn . "
surprise,This dude on this show is problem like.. What did I just walk into.. :D
fear,When we got lost in Florence and the coach did not turn up until midnight.  I had no place to go to and there were strange reports at the police station.
fear,Lol skipped a lap while running the mile in gym today  
sadness,Camping out in @KateMoff33's room because a giant pile of laundry was put on my bed and I have no time for such things. #exhaustion
anger,#ENVY #SORROW #JEALOUSY ✨ #REGRET  all no reason to take a life #STOPtheVIOLENCE  or die trying ...
joy,Waiting for the sun to come out &amp; shine on me one day.  for depleted 
joy,Test and presentation tomorrow. 
sadness,@KingSpare That has to be the worst.  Mrs. Mcintyre made me clean her room to go! 
surprise,Maak ik wel even een nieuwe. Een stomme. 
fear,"While tramping on a narrow path two of us were confronted by a woman with two snarling dogs, demanding we get off the property - via a flooded river !"
fear,"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. #anaconda #fuckthatshit"
surprise,"That new thing he does... he learned it from the best, sweetheart. "
joy,Today was awful. So bad that I actually enjoyed work more than anything. 
fear,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader."
fear,"@JoeSabado Seems ridiculous. People rarely search via domain, and  the amount of domain combinations/word variations is astronomical. "
joy,black friday shopping at target was  sleep for about an hour then off to northlake for more black friday shopping 
fear,"I studied medicine for several semesters and at that time I developed a great fear of examinations. I was most afraid of my examination of anatomy. While other students were examined, I was dissecting. I was able to hear everything and was waiting with fear until it was my turn."
joy,Jelly belly tomorrow we'll meet again 
sadness, No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about . 
sadness,My sister won a scholarship to Norway and it was particularly as she walked across the tarmac to get on the plane and she looked back at us.
sadness, He told me that his friend's car broke down and they had to walk home . 
surprise,"my mom is so sneaky she even put &quot; getting a new iphone&quot; on fbook, well played mama well played "
shame,"When I came across it the other day , I was slightly embarrassed . "
joy,Candy making with my family at gramma's - hands down the best part of Christmas. 
anger,Tzann clucked his tongue with mild exasperation . 
joy,When my first niece was born.
